keyword,region,text,created_at,source,sentiment_label,sentiment_score
广东工业大学,广东,广东 工业 大学 超话 金 历史 突破 广东 第一 金 历史 突破 广东 第一,2024-11-03 13:38,广东工业大学超话,,0
广东工业大学,广东,广东 工业 大学 超话 往届 学长 学姐 珠海 考广工 金融 专硕 会 考点,2024-11-03 22:12,广东工业大学超话,,0
广东工业大学,北京,广东 工业 大学 考研 超话 月 日,2024-11-04 18:31,广东工业大学考研超话,,0
广东工业大学,广东,产教 科教 共融 大湾 区 养老 家政 产教 融合 共同体 深圳 成立 月 日 消息 日 大湾 区 养老 家政 产教 融合 共同体 成立 大会 深圳 会展中心 旨在 贯彻落实 粤港澳 大湾 区 一老 一小 发展 战略 提升 湾区 高品质 民生 服务水平 此次 盛会 深圳市 幸福 健康 产业 集团 有限公司 广东 工业 大学 广东省 外语 艺术 职业 学院 发起 吸引 家 政府 机构 院校 行业 企业 代表 出席 商讨 养老 家政 人才培养 行业 高质量 发展 华夏 医界,2024-11-04 15:40,微博网页版,,0
广东工业大学,广东,广东 工业 大学 超话 网络 暴民 不到 朱令案 真凶 是狈志城 却 敢于 追着 骚扰 孙维及 室友 金亚 教授 近 二十年,2024-11-03 11:29,广东工业大学超话,,0
广东工业大学,北京,初试 广东 工业 大学 设计 学 设计 历史 理论 华研 辅导 圣考 资料网 考研 登陆 广东 工业 大学 研究生 院校 资料 历年 真题 研究 方向 参考书目 复试 分数 报录 信息 供 参考 最新 版本 请点 网页 链接,2024-11-03 13:56,百度App,,0
广东工业大学,北京,看 还 挺巧 广东 工业 大学 龙洞 校区 超话,2024-11-03 22:13,广东工业大学龙洞校区超话,,0
广东工业大学,广东,广东 工业 大学 考研 超话 月 日,2024-11-04 18:31,广东工业大学考研超话,,0
广东工业大学,北京,广东 工业 大学 超话 学校 田雨 人 求 问 双手 合十,2024-11-04 22:40,广东工业大学超话,,0
广东工业大学,北京,广东 工业 大学 超话 网络 暴民 不到 朱令案 真凶 是狈志城 却 敢于 追着 骚扰 孙维及 室友 金亚 教授 近 二十年,2024-11-03 11:29,广东工业大学超话,,0
广东工业大学,广东,看 还 挺巧 广东 工业 大学 龙洞 校区 超话,2024-11-03 22:13,广东工业大学龙洞校区超话,,0
广东工业大学,北京,产教 科教 共融 大湾 区 养老 家政 产教 融合 共同体 深圳 成立 月 日 消息 日 大湾 区 养老 家政 产教 融合 共同体 成立 大会 深圳 会展中心 旨在 贯彻落实 粤港澳 大湾 区 一老 一小 发展 战略 提升 湾区 高品质 民生 服务水平 此次 盛会 深圳市 幸福 健康 产业 集团 有限公司 广东 工业 大学 广东省 外语 艺术 职业 学院 发起 吸引 家 政府 机构 院校 行业 企业 代表 出席 商讨 养老 家政 人才培养 行业 高质量 发展 华夏 医界,2024-11-04 15:40,微博网页版,,0
广东工业大学,广东,初试 广东 工业 大学 设计 学 设计 历史 理论 华研 辅导 圣考 资料网 考研 登陆 广东 工业 大学 研究生 院校 资料 历年 真题 研究 方向 参考书目 复试 分数 报录 信息 供 参考 最新 版本 请点 网页 链接,2024-11-03 13:56,百度App,,0
广东工业大学,北京,高考 志愿 填报 指南 超话 年 广东 工业 大学 自动化 学院 有位 本科生 成功 录取 华南理工大学 真牛,2024-11-04 22:25,高考志愿填报指南超话,,0
广东工业大学,北京,广东 工业 大学 超话 往届 学长 学姐 珠海 考广工 金融 专硕 会 考点,2024-11-03 22:12,广东工业大学超话,,0
广东工业大学,广东,广东 工业 大学 超话 快 薅 羊毛 淘宝 店 明年 关张 粤语 卡通片 都 卖 一元 朋友 赶紧 抢 搜索 淘宝 木村 怡怡 元店 自动 发货,2024-11-03 18:08,广东工业大学超话,,0
